,issuerid,EMITENT_FULL_NAME,combined
125,126,"Публичное акционерное общество ""ПИК-специализированный застройщик""","['ПИК-специализированный застройщик', 'PIKK RX', 'ПИК СЗ', 'ПИК']"
126,127,"Публичное акционерное общество ""Полюс""","['Полюс', 'PLZL RX', 'Полюса']"
127,128,"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""","['Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва', 'RKKE', 'Энергия', 'РКК Энергия', 'РКК «Энергия»']"
128,129,"Публичное акционерное общество ""Распадская""","['Распадская', 'RASP RX', 'ПАО «Распадская»', 'Распадская']"
129,130,"Публичное акционерное общество ""РБК""","['РБК', 'RBCM', 'РосБизнесКонсалтинг', 'ГК «РосБизнесКонсалтинг»', 'Рос Бизнес Консалтинг']"
130,131,"Публичное акционерное общество ""РН-Западная Сибирь""","['РН-Западная Сибирь', 'CHGZ', 'РН-Западная Сибирь']"
131,132,"Публичное акционерное общество ""Росгосстрах Банк""","['Росгосстрах Банк', 'RGSC', 'Росгосстрах Банк', 'Банк Росгосстрах', 'РГС Банк', 'Росгосстрах', 'Росгосстраха']"
132,133,"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""","['РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ', 'ROST', 'РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ', 'РОСИНТЕР', 'Rosinter']"
133,134,"Публичное акционерное общество ""Россети Волга""","['Россети Волга', 'mrkv', 'Россети Волга']"
134,135,"Публичное акционерное общество ""Россети Кубань""","['Россети Кубань', 'kube', 'Россети Кубань']"
135,136,"Публичное акционерное общество ""Россети Ленэнерго""","['Россети Ленэнерго', 'lsng', 'Россети Ленэнерго']"
136,137,"Публичное акционерное общество ""Россети Московский регион""","['Россети Московский регион', 'MSRS', 'Россети Московский регион']"
137,138,"Публичное акционерное общество ""Россети Северный Кавказ""","['Россети Северный Кавказ', 'MRKK', 'Россети Северный Кавказ']"
138,139,"Публичное акционерное общество ""Россети Сибирь""","['Россети Сибирь', 'MRKS', 'Россети Сибирь']"
139,140,"Публичное акционерное общество ""Россети Юг""","['Россети Юг', 'MRKY']"
140,141,"Публичное акционерное общество ""Российские сети""","['Российские сети', 'RSTI RX', 'Российские сети']"
141,142,"Публичное акционерное общество ""Ростелеком""","['Ростелеком', 'RTKM RX', 'ростелекома']"
142,143,"Публичное акционерное общество ""Русгрэйн Холдинг""","['Русгрэйн Холдинг', 'RUGR']"
143,144,"Публичное акционерное общество ""Русолово""","['Русолово', 'ROLO']"
144,145,"Публичное акционерное общество ""Русполимет""","['Русполимет', 'RUSP']"
145,146,"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""","['Рязанская энергетическая сбытовая компания', 'RZSB']"
146,147,"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""","['Саратовский нефтеперерабатывающий завод', 'KRKN', 'KRKNP']"
147,148,"Публичное акционерное общество ""Саратовэнерго""","['Саратовэнерго', 'SAREP', 'SARE', 'Саратовэнерго']"
148,149,"Публичное акционерное общество ""САФМАР Финансовые инвестиции""","['САФМАР Финансовые инвестиции', 'SFIN RX']"
149,150,"Публичное акционерное общество ""Сбербанк России""","['Сбербанк России', 'SBER RX', 'Sberbank', 'Sber', 'сбербанк', 'сбер', 'сбербанка', 'сбера']"
150,151,"Публичное акционерное общество ""Светофор Групп""","['Светофор Групп', 'SVET', 'Светофор Групп', 'Группа светофор', 'Светофор', 'Светофора']"
151,152,"Публичное акционерное общество ""Северсталь""","['Северсталь', 'CHMF RX', 'северстали']"
152,153,"Публичное акционерное общество ""Селигдар""","['Селигдар', 'SELG', 'селигдара']"
153,154,"Публичное Акционерное Общество ""Сибирский гостинец""","['Сибирский гостинец', 'SIBG']"
154,155,"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""","['Славнефть - Мегионнефтегаз', 'MFGS', 'Славнефть-Мегионнефтегаз']"
155,156,"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""","['Славнефть-Ярославнефтеоргсинтез', 'Славнефть - Ярославнефтеоргсинтез', 'JNOS', 'JNOSP']"
156,157,"Публичное акционерное общество ""Современный коммерческий флот""","['Современный коммерческий флот', 'FLOT RX', 'совкомфлот', 'совкомфлота']"
157,158,"Публичное акционерное общество ""СОЛЛЕРС""","['СОЛЛЕРС', 'SVAV RX', 'соллерса', 'sollers', 'северсталь-авто']"
158,159,"Публичное акционерное общество ""Ставропольэнергосбыт""","['Ставропольэнергосбыт', 'STSB', 'Ставропольэнергосбыта']"
159,160,"Публичное акционерное общество ""Сургутнефтегаз""","['Сургутнефтегаз', 'SNGS RX', 'сургутнефтегаза']"
160,161,"Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""","['Красный котельщик', 'KRKOP', 'ткз Красный котельщик', 'ткз ""Красный котельщик""', 'Красного котельщика', 'PJSC Krasny Kotelshchik', 'Krasny Kotelshchik']"
161,162,"Публичное акционерное общество ""Тамбовская энергосбытовая компания""","['Тамбовская энергосбытовая компания', 'TASBP', 'Тамбовэнергосбыт', 'Тамбовская энергосбытовая компания', 'TASB']"
162,163,"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина","['Татнефть', 'TATN RX', 'Татнефть', 'Tatneft', 'Татнефти']"
163,164,"Публичное акционерное общество ""Таттелеком""","['Таттелеком', 'TTLK', 'Таттелеком', 'tattelecom', 'Таттелекома']"
164,165,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""","['Территориальная генерирующая компания №14', 'TGKN', 'ТГК-14', 'TGC-14', 'TGK-14']"
165,166,"Публичное акционерное общество ""Территориальная генерирующая компания №1""","['Территориальная генерирующая компания №1', 'TGKA', 'ТГК-1', 'TGC-1', 'TGK-1']"
166,167,"Публичное акционерное общество ""Территориальная генерирующая компания №2""","['Территориальная генерирующая компания №2', 'TGKB', 'ТГК-2', 'TGC-2', 'TGK-2']"
167,168,"Публичное акционерное общество ""ТНС энерго Воронеж""","['ТНС энерго Воронеж', 'VRSB', 'ТНС энерго Воронеж', 'VRSBP']"
168,169,"Публичное акционерное общество ""ТНС энерго Кубань""","['ТНС энерго Кубань', 'KBSB', 'ТНС энерго Кубань', 'KBSBP', 'KBSBP']"
169,170,"Публичное акционерное общество ""ТНС энерго Марий Эл""","['ТНС энерго Марий Эл', 'MISB', 'ТНС энерго Марий Эл', 'MISBP']"
170,171,"Публичное акционерное общество ""ТНС энерго Нижний Новгород""","['ТНС энерго Нижний Новгород', 'NNSB', 'ТНС энерго Нижний Новгород', 'NNSB', 'ТНС энерго Нижний Новг', 'NNSBP']"
171,172,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""","['ТНС энерго Ростов-на-Дону', 'RTSB', 'ТНС энерго Ростов-на-Дону', 'RTSB', 'ТНС энерго Ростов', 'RTSBP']"
172,173,"Публичное акционерное общество ""ТНС энерго Ярославль""","['ТНС энерго Ярославль', 'YRSB', 'ТНС энерго Ярославль', 'YRSB', 'YRSBP']"
173,174,"Публичное акционерное общество ""Томская распределительная компания""","['Томская распределительная компания', 'TORS', 'Томская распределительная компания', 'Россети Томск', 'ТРК', 'TORS']"
174,175,"Публичное акционерное общество ""Транснефть""","['Транснефть', 'TRNFP RX', 'Транснефть', 'transneft', 'транснефти']"
175,176,"Публичное акционерное общество ""ТрансФин-М""","['ТрансФин-М', 'TRFM', 'ТрансФин', 'transfin', 'ТрансФина']"
176,177,"Публичное акционерное общество ""Трубная Металлургическая Компания""","['Трубная Металлургическая Компания', 'TRMK RX', 'ТМК', 'OAO TMK', 'TMK', 'Трубная Металлургическая Компания']"
177,178,"Публичное акционерное общество ""Туймазинский завод автобетоновозов""","['Туймазинский завод автобетоновозов', 'TUZA', 'ПАО «ТЗА»', 'ПАО ТЗА', 'тза', 'Туймазинский завод автобетоновозов', 'не TZA -- есть американский тикер']"
178,179,"Публичное акционерное общество ""Тучковский комбинат строительных материалов""","['Тучковский комбинат строительных материалов', 'TUCH', 'Тучковский КСМ', 'ТКСМ']"
179,180,"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""","['Южный Кузбасс', 'UKUZ', 'ПАО «Южный Кузбасс»', 'ПАО Южный Кузбасс', 'Southern Kuzbass Coal Company', 'Южный Кузбасс']"
180,181,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АРСАГЕРА""","['АРСАГЕРА', 'ARSA', 'ARSA', 'Арсагера', 'arsagera(не встречал упоминаний)']"
181,182,"Публичное акционерное общество ""Уралкалий""","['Уралкалий', 'URKA RX', 'uralkali', 'Уралкалий', 'URKA']"
182,183,"Публичное акционерное общество ""Уральская кузница""","['Уральская кузница', 'URKZ', 'Уральская кузница', 'Urals Stampings Plant']"
183,184,"Публичное акционерное общество ""Фармсинтез""","['Фармсинтез', 'LIFE', 'Фармсинтез', 'Pharmsynthez', 'Фарм-синтез', 'ПАО Фармсинтез']"
184,185,"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""","['Федеральная гидрогенерирующая компания - РусГидро', 'HYDR RX', 'Русгидро', 'RusHydro', 'ПАО РусГидро']"
185,186,"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""","['Федеральная сетевая компания Единой энергетической системы', 'FEES RX', 'rosseti', 'Россети ФСК ЕЭС', 'AO FGC UES', 'россети', 'ПАО Россети', 'ПАО ФСК ЕЭС', 'ФСК ЕЭС']"
186,187,"Публичное акционерное общество ""ФосАгро""","['ФосАгро', 'PHOR RX', 'Фосагро', 'Phosagro']"
187,188,"Публичное акционерное общество ""Химпром""","['Химпром', 'HIMCP RX', 'Химпром', 'himprom', 'ПАО Химпром']"
188,189,"Публичное акционерное общество ""Центр международной торговли""","['Центр международной торговли', 'WTCM RX', 'ЦМТ', 'WTC', 'Центр международной торговли', 'World trade center']"
189,190,"Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""","['ТрансКонтейнер', 'TRCN RX', 'Трансконтейнер', 'Transcontainer', 'ПАО Трансконейнер']"
190,191,"Публичное акционерное общество ""Центральный телеграф""","['Центральный телеграф', 'CNTL RX', 'Центральный телеграф', 'Central Telegraph', 'ПАО Центральный телеграф']"
191,192,"Публичное акционерное общество ""Челябинский завод профилированного стального настила""","['Челябинский завод профилированного стального настила', 'PRFN RX', 'ЧЗПСН-Профнастил', 'ПАО ЧЗПСН-Профнастил', 'Челябинский завод профилированного стального настила']"
192,193,"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""","['Челябинский кузнечно-прессовый завод', 'CKPZ RX', 'ЧКПЗ', 'OAO Chelyabinsk Forge-and-Press Plant', 'ПАО Челябинский кузнечно-прессовый завод']"
193,194,"Публичное акционерное общество ""Челябинский металлургический комбинат""","['Челябинский металлургический комбинат', 'CHMK RX', 'ЧМК', 'Chelyabinsk Metallurgical Plant', 'ПАО ЧМК', 'Челябинский металлургический комбинат', 'ChMK']"
194,195,"Публичное акционерное общество ""Челябинский трубопрокатный завод""","['Челябинский трубопрокатный завод', 'CHEP RX', 'ЧТПЗ', 'Chelyabinsk Pipe Rolling Plant', 'ПАО ЧТПЗ', 'Челябинский трубопрокатный завод']"
195,196,"Публичное акционерное общество ""Электроцинк""","['Электроцинк', 'ELTZ RX', 'Электроцинк', 'Electrozink', 'ПАО Электроцинк']"
196,197,"Публичное акционерное общество ""Энел Россия""","['Энел Россия', 'ENRU RX', 'Энел Россия', 'Enel Russia', 'ПАО Энел Россия', 'elfv']"
197,198,"Публичное акционерное общество ""Южно-Уральский никелевый комбинат""","['Южно-Уральский никелевый комбинат', 'UNKL RX', 'Южуралникель', 'Unickel', 'Комбинат Южуралникель', 'ПАО Комбинат Южуралникель']"
198,199,"Публичное акционерное общество ""Юнипро""","['Юнипро', 'UPRO RX', 'Юнипро', 'unipro', 'ПАО Юнипро']"
199,200,"Публичное акционерное общество ""Якутская топливно-энергетическая компания""","['Якутская топливно-энергетическая компания', 'YAKG RX', 'ЯТЭК', 'Yatec', 'Якутская топливно-энергетическая компания', 'ПАО Якутская топливно-энергетическая компания']"
200,201,"Публичное акционерное общество ""Якутскэнерго""","['Якутскэнерго', 'YKEN RX', 'Якутскэнерго', 'Yakutskenergo', 'ПАО Якутскэнерго']"
201,202,"Публичное акционерное общество Банк ""Возрождение""","['Возрождение', 'VZRZ RX', 'Банк Возрождение', 'Vozrozhdenie Bank', 'ПАО Банк Возрождение']"
202,203,"Публичное акционерное общество Банк ""Кузнецкий""","['Кузнецкий', 'KUZB RX', 'Банк Кузнецкий', 'kuzbank', 'ПАО Банк Кузнецкий']"
203,204,"Публичное акционерное общество Группа компаний ""Сегежа""","['Сегежа', 'SGZH RX', 'сегежа', 'segezha', 'Сегежа групп', 'Segezha Group']"
204,205,"Публичное акционерное общество Группа компаний ""ТНС энерго""","['ТНС энерго', 'TNSE RX', 'ТНС энерго', 'TNS energo', 'ПАО ГК ТНС энерго']"
205,206,"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""","['ДИОД', 'DIOD RX', 'Диод', 'DIOD Plant of Ecological Technics and Ecomeals', 'ПАО Диод', 'Завод экологической техники и экопитания Диод']"
206,207,Публичное акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК,"['МОСКОВСКИЙ ОБЛАСТНОЙ БАНК', 'MOBB']"
207,208,"Публичное акционерное общество Научно-производственное объединение ""Наука""","['Научно-производственное объединение ""Наука""', 'NAUK', 'nauka']"
208,209,"Публичное акционерное общество Нефтегазовая компания ""РуссНефть""","['РуссНефть', 'RNFT', 'РуссНефти']"
209,210,Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора),"['Уралмаш-Ижора', 'OMZZP', 'OMZZ']"
210,211,Публичное акционерное общество РОСБАНК,"['РОСБАНК', 'ROSB', 'РОСБАНКа']"
211,212,"Публичное акционерное общество Страховая Компания ""Росгосстрах""","['Росгосстрах', 'RGSS', 'Росгосстраха']"
212,213,"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""","['Камчатскэнерго', 'KCHEP', 'KCHE']"
213,214,"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""","['Магаданэнерго', 'MAGEP', 'MAGE']"
214,215,"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""","['Мосэнерго', 'MSNG', 'мосэнерго', 'московская энергетическая компания']"
215,216,"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""","['Самараэнерго', 'SAGO', 'самарэнерго']"
216,217,"Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""","['Сахалинэнерго', 'SLEN', 'сахалинэнерго']"
217,218,ETALON GROUP PLC (ЭТАЛОН ГРУП ПИЭЛСИ) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['ЭТАЛОН ГРУП', 'ETLN LI', 'Эталон Груп', 'Группа Эталон', 'эталон']"
218,219,Fix Price Group Ltd (Фикс Прайс Груп Лтд) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['Fix Price', 'FIXP RX', 'Fix Price', 'FixPrice', 'фикс прайс', 'фикспрайс', 'фикс прайса', 'фикспрайса']"
219,220,Globaltrans Investment PLC (Глобалтранс Инвестмент ПЛС) (эмитент депозитарных расписок - Citibank N.A. (Ситибэнк Эн.Эй)),"['Globaltrans Investment', 'GLTR LI', 'Globaltrans', 'Глобалтранс']"
220,221,"HeadHunter Group PLC (ХэдХантер Групп ПИЭЛСИ) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))","['HeadHunter', 'HHRU RX', 'Headhunter', 'hhru', 'ххру', 'hh.ru', 'хх.ру', 'хэдхантер', 'хэдхантера']"
221,222,HMS HYDRAULIC MACHINES & SYSTEMS GROUP PLC (ГМС ГИДРАВЛИК МАШИНС ЭНД СИСТЕМС ГРУП ПЛС) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['HMS HYDRAULIC MACHINES & SYSTEMS', 'HMSG']"
222,223,Mail.ru Group Limited (Мэйл.ру Груп Лимитед) (эмитент депозитарных расписок - Citibank N.A. (Ситибэнк Эн.Эй)),"['Mail.ru', 'MAIL LI', 'VKCO', 'Вконтакте', 'ВК', 'VK Group', 'vk', 'vkontakte']"
223,224,"MD MEDICAL GROUP INVESTMENTS PLC (МД МЕДИКАЛ ГРУП ИНВЕСТМЕНТС ПЛС) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))","['MD MEDICAL', 'MDMG RX', 'MD Medical']"
224,225,"TCS Group Holding PLC (ТиСиЭс Груп Холдинг ПиЭлСи) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))","['TCS Group Holding', 'TCS LI', 'TCSG', 'TCS Group', 'Tinkoff', 'Тинькофф', 'тинёк', 'тинек']"
225,226,АО О'КЕЙ ГРУПП (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"[""О'КЕЙ"", 'OKEY RX', 'okey']"
226,227,Икс 5 Ритейл Груп Н.В. (X5 Retail Group N.V.) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['X5 Retail', 'FIVE LI', 'Х5 групп', 'X5 Group', 'X5']"
227,228,КИВИ ПиЭлСи (QIWI PLC) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['QIWI', 'QIWI RX', 'АО Киви', 'киви']"
228,229,"Международная компания публичное акционерное общество ""Лента"" (эмитент депозитарных расписок - Deutsche Bank Trust Company Americas (Дойче Банк Траст Кампани Америкас))","['Лента', 'LNTA', 'LENT', 'lenta', 'Ленты']"
229,230,Озон Холдингс ПиЭлСи (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['Озон', 'OZON RX', 'ozon', 'Озона']"
230,231,РОС АГРО ПЛС (ROS AGRO PLC) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон)),"['РОС АГРО', 'AGRO RX', 'Русагро', 'Rusagro']"
231,232,Nord Gold PLC (Норд Голд ПЛК),"['Nord Gold', 'RTSD']"
232,233,UNITED MEDICAL GROUP CY PLC (ЮНАЙТЕД МЕДИКАЛ ГРУП КИ ПИЭЛСИ) (эмитент депозитарных расписок - The Bank of New York Mellon Corporation (Зе Бэнк оф Нью Йорк Меллон Корпорэйшн)),"['UNITED MEDICAL GROUP', 'NORD', 'Nordgold']"
233,234,Petropavlovsk PLC (Петропавловск ПЛК),"['Petropavlovsk', 'POGR', 'Petropavl', 'Петропавловск']"
234,235,Полиметалл Интернэшнл плс (Polymetal International plc),"['Полиметалл Интернэшнл', 'POLY RX', 'polymetal', 'полиметалл']"
235,236,Публичная Компания с ограниченной ответственностью Яндекс Н.В. (Public Limited Liability Company Yandex N.V.),"['Яндекс', 'YNDX RX', 'Яндекс', 'Yandex', 'яша', 'яшы', 'Яндекса']"
236,237,Softline Holding Limited (эмитент депозитарных расписок - The Bank of New York Mellon Corporation (Зе Бэнк оф Нью Йорк Меллон Корпорэйшн)),"['Softline', 'SFTL', 'softline', 'софтлайн', 'Noventiq', 'софтлайна']"
237,240,VEON Ltd.,"['VEON', 'VEON', 'ВЕОН', 'ВЕОНа']"
238,241,"Публичное акционерное общество ""Группа Позитив""","['Группа Позитив', 'POSI', 'Positive tech', 'группа позитив', 'гр. Позитив', 'Positive Group']"
239,251,Cian PLC (эмитент депозитарных расписок - The Bank of New York Mellon),"['Циан', 'CIAN', 'cian', 'циана']"
240,254,"Публичное акционерное общество ""ВУШ Холдинг""","['ВУШ Холдинг', 'WUSH', 'Whoosh', 'Вуш', 'Вуша']"
241,255,"Публичное акционерное общество ""СПБ Биржа""","['СПБ Биржа', 'SPBE', 'СПБ Биржа', 'СПБ Биржи']"
242,257,Global Ports,"['Global Ports', 'GLPR', 'Globalports', 'Глобалпортс']"
243,267,"Публичное акционерное общество ""Группа Ренессанс Страхование""","['Ренессанс Страхование', 'RENI', 'Ренессанс Страхование', 'Ренессанс Страхования']"
244,258,Astra Linux,"['Astra Linux', 'ASTR', 'Гк Астра', 'Группа Астра', 'Astra', 'Астра', 'Астра линукс', 'Астра линукса']"
245,261,INARCTICA,"['INARCTICA', 'AQUA', 'Инарктика', 'Русское море', 'Русская аквакультура', 'Аквакультура']"
246,265,ЮЖУРАЛЗОЛОТО,"['ЮЖУРАЛЗОЛОТО', 'UGLD', 'ЮГК']"
247,266,Artgen biotech,"['Artgen biotech', 'ABIO', 'Артген Биотех', 'Артген', 'iАРТГЕН']"
248,268,Генетико,"['Генетико', 'GECO', 'Genetico', 'iГенетико']"
249,269,CarMoney,"['CarMoney', 'CARM', 'Смарттехгрупп', 'ПАО ""СТГ""']"
250,270,Henderson,"['Henderson', 'HNFG', 'Хендерсон', 'Хендерсона']"
251,271,Совкомбанк,"['Совкомбанк', 'SVCB', 'Sovcombank', 'Совкомбанка']"
252,272,ЕвроТранс,"['ЕвроТранс', 'EUTR', 'АЗС Трасса', 'АЗС ""Трасса""', 'АЗС «Трасса»']"
253,273,Делимобиль,"['Делимобиль', 'DELI', 'Делимобил', 'Каршеринг Рус', 'delimobil', 'ПАО ""Каршеринг Руссия""', '""Каршеринг Руссия"", ПАО', 'Делимобиля', 'Каршеринг Руссия']"
254,274,Диасофт,"['Диасофт', 'DIAS', 'Diasoft', 'Диасофта']"
